State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
North Carolina,Senate,Primary,D,Chrelle Booker,0,9937,0,ChrelleBooker,"['U.S. Senate Candidate, https://t.co/lQGqCibCk9, https://t.co/FL5vNDlVFV, Mayor Pro Tempore Tryon NC, TV broadcasting, Realtor, HR Manager, Phi Theta Kappa Honor Society.']",3,39
Maryland,Senate,General,D,Chris Chaffee,0,593153,0,ChaffeeUSSenate,['Maryland Deserves A Republican Voice Vote For Freedom Vote for your grandchildren’s future .'],174,348
Maryland,Senate,Primary,R,Chris Chaffee,1,45931,0,ChaffeeUSSenate,['Maryland Deserves A Republican Voice Vote For Freedom Vote for your grandchildren’s future .'],174,348
Maryland,Senate,General,D,Chris Van Hollen,1,922821,1,ChrisVanHollen,['U.S. Senator for Maryland'],961,194267
Maryland,Senate,Primary,D,Chris Van Hollen,1,152711,1,ChrisVanHollen,['U.S. Senator for Maryland'],961,194267
Vermont,Senate,Primary,R,Christina Nolan,0,10770,0,nolanforsenate,['Former U.S. Attorney for Vermont and current Republican candidate for the U.S. Senate. We need to bring a fresh perspective to Washington! #TeamNolan #vtpoli'],88,782
Oregon,Senate,Primary,R,Christopher Christensen,0,28433,0,NO_HANDLE,None,0,0
Iowa,Senate,General,R,Chuck Grassley,1,672242,1,ChuckGrassley,"['U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.']",12544,807650
Iowa,Senate,Primary,R,Chuck Grassley,1,139451,1,ChuckGrassley,"['U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.']",12544,807650
New Hampshire,Senate,Primary,R,Chuck Morse,0,50770,0,Morse4Senate,['Official Campaign Account for New Hampshire Senate President Morse. Running for United States Senate to represent the 603 not D.C.'],232,2050
New York,Senate,General,D,Chuck Schumer,1,3189890,1,SenSchumer,"['Official Account of Senator Chuck Schumer, New York’s Senator and the Senate Majority Leader.']",23471,3427939
California,Senate,Primary,R,Chuck Smith,0,266766,0,NO_HANDLE,None,0,0
Pennsylvania,Senate,Primary,D,Conor Lamb,0,337498,0,ConorLambPA,"['Marine, prosecutor, patriot, Catholic, Democrat. U.S. Rep. #PA17.']",525,146817
North Carolina,Senate,Primary,D,Constance Johnson,0,12500,0,NO_HANDLE,None,0,0
California,Senate,Primary,R,Cordie Williams,0,474321,0,drcordiew,['Patriot - Veteran - Doctor - Political Commentator - Speaker - Co-Founder @1776foreverfre #megaphonemarine'],1484,9249
Nevada,Senate,Primary,D,Corey Reid,0,3419,0,NO_HANDLE,None,0,0
Arkansas,Senate,Primary,D,Dan Whitfield,0,28259,0,NO_HANDLE,None,0,0
Oregon,Senate,Primary,R,Darin Harbick,0,107506,0,NO_HANDLE,None,0,0
Missouri,Senate,Primary,R,Dave Schatz,0,7509,0,DaveSchatzMO,['I’m a proud blue collar product of the Reagan Revolution. I’m running for US Senate to find solutions and fix problems — not to fix blame. #gop #mosen'],578,3100
North Carolina,Senate,Primary,R,David Flaherty,0,7265,0,NO_HANDLE,None,0,0
